advertiser,pageId,libraryId,active,start,end,format,cta,link,title,body,regions,mediaFiles
Canopus Construções,1866016760295816,3337463819723836,False,2025-04-30,2025-09-19,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,3337463819723836_0_video_sd.mp4;3337463819723836_0_video_preview.jpg
Canopus Construções,1866016760295816,1323975018668182,False,2025-04-30,2025-09-19,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,1323975018668182_0_video_sd.mp4;1323975018668182_0_video_preview.jpg
Canopus Construções,1866016760295816,601390352962046,False,2025-04-30,2025-09-19,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,601390352962046_0_video_sd.mp4;601390352962046_0_video_preview.jpg
Canopus Construções,1866016760295816,1887287932040474,False,2025-04-30,2025-09-19,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,1887287932040474_0_video_sd.mp4;1887287932040474_0_video_preview.jpg
Canopus Construções,1866016760295816,1250560526589183,True,2025-05-15,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Mensalidades a partir de R$399,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,1250560526589183_0_video_hd.mp4;1250560526589183_0_video_sd.mp4;1250560526589183_0_video_preview.jpg
Canopus Construções,1866016760295816,4168298766737462,False,2025-05-15,2026-06-17,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,4168298766737462_card0_card_image.png;4168298766737462_card1_card_image.png;4168298766737462_card2_card_image.png
Canopus Construções,1866016760295816,576002192199886,True,2025-05-15,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,576002192199886_card0_card_image.jpg;576002192199886_card1_card_image.jpg
Canopus Construções,1866016760295816,1050099267048219,True,2025-05-15,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1050099267048219_card0_card_image.jpg;1050099267048219_card1_card_image.jpg
Canopus Construções,1866016760295816,1127812326038741,True,2025-05-15,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1127812326038741_card0_card_image.jpg;1127812326038741_card1_card_image.jpg
Canopus Construções,1866016760295816,716393814254388,True,2025-05-15,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,716393814254388_card0_card_image.jpg;716393814254388_card1_card_image.jpg
